text,prediction
"На территории базара «Самал» проведены пожарно-тактические учения.

Тема пожарно-тактического учения: тушение пожаров в торговых центрах.
Цель пожарно-тактического учения: Отработка практических навыков личного состава противопожарных подразделений гарнизона города Шымкент при тушении пожаров в торговых центрах продажа одежды и товаров народного потребления, тренировка начальствующего состава в руководстве подразделениями при тушении пожаров на данных объектах, отработка взаимодействия обслуживающего персонала с подразделениями  ГУ «Служба пожаротушения и АСР» ДЧС г. Шымкент, а также организация  взаимодействия со службами  жизнеобеспечения города. 
В тактическом плане учения в одном из бутиков  по продаже одежды на территории рынка происходит пожар из-за замыкания электропроводки. Огонь распространяется по соседним бутикам. Охранники объекта оперативно сообщают в службу «101"". По вызову №2 к месту пожарно-тактического учения направлены силы и средства в соответствии с графиком выезда. Первые прибывшие подразделения приступают к защите путей эвакуации и выводу людей  в безопасную зону, а остальные подразделения проводят поиск, обнаружение и тушение очага пожара. Распространение огня было предотвращено. 
В учениях задействованы  8 основных и 2 специальных единиц пожарной техники Службы пожаротушения и аварийно-спасательных работ., офицерский и личный состав, сотрудники ДЧС г. Шымкент, сотрудники центра медицины катастроф, оперативно-спасательного отряда, экипаж дорожно-патрульной службы,  дополнительно к месту происшествия привлечены и сотрудники «103», энергосетей, водоканала. 
Стоит отметить, что основные причины пожаров на рынках города, которые произошли за последние 5 лет – это нарушение правил монтажа и технической эксплуатации электрооборудования. Последний раз на рынке «Самал» пожар произошел в октябре 2013 года.

  Группа по связям с общественностью ДЧС г.Шымкент",0
"� В Туркестане произошло ДТП с участием автобуса и «ГАЗели» ⠀ 13 октября 2022 года в дежурную часть УП г. Туркестана поступило сообщение о дорожно-транспортном происшествии. ⠀ По прибытии на место полицейские установили, что примерно в 08:00 утра на трассе Самара - Шымкент столкнулись «ГАЗель» и пассажирский автобус марки Yutong. ⠀ В результате ДТП на месте происшествия от полученных травм скончался один из пассажиров автобуса, житель Туркестана. Еще пять пассажиров доставлены в больницу с различными травмами. ⠀ Факт зарегистрирован по ст. 345, ч. 3 УК РК «Нарушение правил дорожного движения или эксплуатации транспортных средств лицами, управляющими транспортными средствами». ⠀ Назначены экспертизы. ⠀ Водитель автомашины «ГАЗель», выехавший на встречную полосу, задержан. Выясняются все обстоятельства произошедшего. ⠀ 
По материалам пресс-службы ДП Туркестанской области",0
"Четырех водителей автобусов лишили прав за выезд на встречку в Шымкенте.

В целях обеспечения безопасности пассажиров общественного транспорта и профилактики правонарушений со стороны водителей полицейские на постоянной основе проводят рейдовые мероприятия, сообщает Polisia.kz.

В период проведения мероприятия совместно с сотрудниками Инспекции транспортного контроля, Управления пассажирского транспорта и автомобильных дорог, транспортной прокуратуры по городу Шымкент были созданы мобильные группы и проверены автотранспорты, осуществляющие пассажирские перевозки.

Всего за 11 месяцев текущего года выявлено 3335 административных правонарушений, совершенных водителями общественного транспорта:

– по ч. 7 ст. 590 КоАП РК “Управление транспортным средством, переоборудованным без соответствующего разрешения” – 225 фактов;
– по ч. 9 ст. 590 КоАП РК “Непрохождение технического осмотра” – 335;
– по ст. 591 КоАП РК “Использование мобильного телефона за рулем” – 902;
– по ст. 595 КоАП РК “Нарушение правил маневрирования” – 365. Кроме того, за выезд на встречку 4 водителя автобуса лишены права управления транспортом.

� www.caravan.kz",0
"Под председательством Генерального Прокурора Берика Асылова состоялось заседание коллегии по вопросам соблюдения законности в земельной сфере, а также при приобретении медицинских изделий.
В работе коллегии приняли участие депутаты Мажилиса Парламента, руководители министерств сельского хозяйства, экологии, геологии и природных ресурсов, здравоохранения и другие заинтересованные лица.
Открывая заседание по первому вопросу, Берик Асылов отметил, что в текущем году прокурорами государству возвращены неиспользуемые 1,5 млн га земли.
Совместно с Минсельхозом сокращен дефицит общественных пастбищ с 29 до 8 млн га. В СКО, Акмолинской и Алматинской областях 11 тысячам пайщикам возвращены свыше 500 тысяч га земель.
Проверками выявлены находящиеся в распоряжении олигополий лучшие и плодородные сельхозземли, пастбища и коммерческие участки, из которых уже изъято в пользу государства 145 тысяч га.
По итогам проверок возбуждено 56 уголовных дел в отношении должностных лиц Управлений земельных отношений и сельского хозяйства акиматов г.Шымкент, Акмолинской, Атырауской, Алматинской и Туркестанской областей, а также отдельных землепользователей ВКО, ЗКО, СКО, Мангистауской и Кызылординской регионов.
На сегодняшний день осуждено 9 виновных лиц. К примеру, в СКО к 6 годам лишения свободы осужден руководитель предприятия за мошеннические действия с землями свыше 
800 пайшиков.
Берик Асылов обратил внимание на важность работы уполномоченных органов по управлению пастбищами, недопущению концентрации крупных участков в одних руках и усилению контроля за паевыми землями, исключив любые «серые» схемы, в т.ч. посредством СПК.
Продолжение в комментариях",0
"ДТП произошло 31 августа примерно в 7:55 на 446-километре трассы Самара-Шымкент.

46-летний водитель Daewoo Matiz не справился с рулевым управлением и автомобиль опрокинулся, сообщает Мой Город.

""В результате аварии водитель авто от полученных травм скончался на месте до приезда скорой помощи. 38-летнюю женщину и 11-летнего мальчика доставили в центральную больницу Сырымского района"", – сообщили в ДП ЗКО.

В управлении здравоохранения ЗКО сообщили, что у женщины были диагностированы лишь ушибы, ее отпустили на амбулаторное наблюдение. Ребёнок доставлен в Областную детскую многопрофильную больницу. О его состоянии врачи расскажут позже.

Ведется досудебное расследование.",0
"В Шымкенте три сестры управляли целой преступной сетью, они занимались сутенерством. Обманом заманивали молодых девушек и заставляли заниматься проституцией. Полицейские сообщают о 14 девушках, вовлечённых в дело, среди них шесть несовершеннолетних. 

«Девушек держали на съёмных квартирах, где подвергали к занятию проституцией. В ряде случаев подозреваемые возили девушек в гостиницы и сауны, сопровождая их лично. Девушки, чтобы успокоить родственников, говорили родителям, что подрабатывают няньками, присматривая за детьми», — сообщает полиция.

В рамках расследования задержаны 11 человек, заведены 18 уголовных дел по статьям «Создание и участие в ОПГ», «Торговля людьми», «Вовлечение несовершеннолетнего в занятие проституцией», «Притоносодержание и сводничество», «Вовлечение в занятие проституцией», «Приобретение, хранение, перевозка наркотических средств».",0
"Орудовала преступная группа из 11 человек.

В Шымкенте полиция расследует уголовное дело по факту вовлечения несовершеннолетних в занятие проституцией, сводничество, а также торговлю людьми с целью сексуальной эксплуатации в составе организованной преступной группы.

ОПГ организовали три сестры. Роли каждого члена были четко расписаны. Вместе они занимались координацией преступной деятельности в городах Шымкенте, Туркестане и Таразе.",0
"Генпрокуратура сообщила, что в результате проверок были выявлены находящиеся в распоряжении олигополий лучшие и плодородные сельхозземли, пастбища и коммерческие участки, из которых в пользу государства изъяли 145 тысяч га. Об этом передаёт Ulysmedia.kz.

ЧИТАЙТЕ ТАКЖЕ
Отец в Акмолинской области насиловал свою дочь и сел за решетку
По итогам проверок возбуждено 56 уголовных дел в отношении должностных лиц Управлений земельных отношений и сельского хозяйства акиматов Шымкента, Акмолинской, Атырауской, Алматинской и Туркестанской областей, а также отдельных землепользователей ВКО, ЗКО, СКО, Мангистауской и Кызылординской регионов.

На сегодняшний день осуждены девять виновных лиц.

#олигополия #генпрокуратура #выходкправде #улысмедиа",0
"Под председательством Генерального Прокурора Берика Асылова состоялось заседание коллегии по вопросам соблюдения законности в земельной сфере, а также при приобретении медицинских изделий.

В работе коллегии приняли участие депутаты Мажилиса Парламента, руководители министерств сельского хозяйства, экологии, геологии и природных ресурсов, здравоохранения и другие заинтересованные лица.

Открывая заседание по первому вопросу, Берик Асылов отметил, что в текущем году прокурорами государству возвращены неиспользуемые 1,5 млн га земли.

Совместно с Минсельхозом сокращен дефицит общественных пастбищ с 29 до 8 млн га. В СКО, Акмолинской и Алматинской областях 11 тысячам пайщикам возвращены свыше 500 тысяч га земель.

Проверками выявлены находящиеся в распоряжении олигополий лучшие и плодородные сельхозземли, пастбища и коммерческие участки, из которых уже изъято в пользу государства 145 тысяч га.

По итогам проверок возбуждено 56 уголовных дел в отношении должностных лиц Управлений земельных отношений и сельского хозяйства акиматов г.Шымкент, Акмолинской, Атырауской, Алматинской и Туркестанской областей, а также отдельных землепользователей ВКО, ЗКО, СКО, Мангистауской и Кызылординской регионов.

На сегодняшний день осуждено 9 виновных лиц. К примеру, в СКО к 6 годам лишения свободы приговорен руководитель предприятия за мошеннические действия с землями свыше 800 пайшиков.

Берик Асылов обратил внимание на важность работы уполномоченных органов по управлению пастбищами, недопущению концентрации крупных участков в одних руках и усилению контроля за паевыми землями, исключив любые «серые» схемы, в т.ч. посредством СПК.

Перед Министерством сельского хозяйства поставлена задача по устранению нарушений законности с составлением конкретного плана действий.

Вторым вопросом обсуждены результаты проверки деятельности «Национального центра экспертизы лекарственных средств и медицинских изделий».

Прокурорской проверкой выявлены факты хищения бюджетных средств и закупа некачественной медтехники по завышенным ценам.

Продолжение в комментариях ⬇️⬇️⬇️",0
"О жуткой истории девочки сообщила казахстанская правозащитница Дина Тансари. 

Как оказалось, школьница в сети пишет, что ее насилует отец с 7 класса.

«Было 2 попытки суицида. Боится сообщать, семья многодетная – 7 детей», –  проинформировала Дина Тансари.

Школьница не публиковала личное видео, а написала о происходящем в тексте.

Комитет прав по защите детей отреагировал на информацию.

«По данной ситуации сообщаем, вопрос взят на особый контроль Комитета по охране прав детей Министерства просвещения Республики Казахстан. Правоохранительными органами города Шымкент принимаются соответствующие меры и ведутся следственные мероприятия», –  говорится в комментарии.

Официальный представитель ДП города Шымкент Салтанат Каракозова также заявила, что несовершеннолетняя девушка и ее родители отказались от каких-либо заявлений в полицию и опровергают факт насилия.

«Данный факт зарегистрирован в ЕРДР Каратауского РУП ДП города Шымкент по статье 122 УК РК «половое сношение с лицом, не достигшим 16-летнего возраста». В рамках досудебного расследования проводятся все необходимые следственные действия, в том числе назначены ряд экспертиз. С подростком работают психологи. Однако, несовершеннолетняя девушка и ее родители отказались от каких-либо заявлений в полицию и опровергают факт насилия. Дело находится на особом контроле руководства ДП города Шымкент», –  добавили в департаменте полиции.",0
